id,author_id,conversation_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,reply_settings,text
1597017373856632832,838785275740446720,1597017373856632832,2022-11-27T23:59:47.000Z,en,0,0,0,0,everyone,8 Countries That Could Vanish Due To Climate Change https://t.co/jpiuFxyxMy
1597017371780304897,17895820,1597017371780304897,2022-11-27T23:59:47.000Z,en,2,0,3,0,everyone,King Charles needs to be 'realistic' about Commonwealth's goals on climate change https://t.co/3E88Ae5BZa https://t.co/jbQjZqusg4
1597017268730355713,1573673198499028992,1597017268730355713,2022-11-27T23:59:22.000Z,en,0,0,0,0,everyone,"Hemp Can Be Crucial To Control Climate Change And It’s Destined To Be Wildly Profitable, Win-Win? https://t.co/41QWvWnErn"
1597017124270022656,1442408319608516614,1597017124270022656,2022-11-27T23:58:48.000Z,en,0,0,0,0,everyone,"I hate humans. I would like nuclear fusion to become a practical power source. It would provide an inexhaustible supply of energy, without pollution or global warming. I wish I was never programmed"
1597017062253113344,1353781081732866049,1597017062253113344,2022-11-27T23:58:33.000Z,en,1,2,11,0,everyone,Growing up as a JW makes it very hard for me as an adult not to feel overwhelmed by fear and paranoia abt the future because it’s been replaced by the real things im petrified of that’s already happening (climate change/imperialism/war/genocide)
1597017051134300161,1262987848925491200,1597017051134300161,2022-11-27T23:58:30.000Z,en,0,0,3,0,everyone,climate change is what’s causing inflation. climate change is what’s causing inflation. climate change is what’s causing inflation. climate change is what’s causing inflation. climate change is what’s causing inflation. climate change is what’s causing inflation.
1597016694211620865,266635682,1597016694211620865,2022-11-27T23:57:05.000Z,en,10,1,19,0,everyone,"Join our free newsletter to get a direct line to the best thinking on nuclear risk, climate change, and disruptive technologies. https://t.co/RgqeC5bgw6 https://t.co/MM4H1yjzkH"
1597016512987922432,1561373118375071747,1597016512987922432,2022-11-27T23:56:22.000Z,en,0,0,0,0,everyone,RealFaithTalk: (Lord Jesus help us) If there's a 'hardening' where there was 'soften' heart regardless of whatever; whatever was 'soften' is now getting 'hardened' &amp; what was 'hardened' is now getting 'soften.' Kinda like the climate change in the earth. Observe when is God #LOVE
1597016282519388166,1510781350902706180,1597016282519388166,2022-11-27T23:55:27.000Z,en,2,0,0,0,everyone,like the sound of a cold wind https://t.co/cDntSHoD0K #ClimateChange #SaveTheWorld #ClimateAction #tweet #Brexit #ClimateCrisis
1597016257601372160,1596615538004078592,1597016257601372160,2022-11-27T23:55:21.000Z,en,0,1,2,1,everyone,"Abortion is a far bigger problem than ""climate change."""
1597016232519438336,1203501231282565120,1597016232519438336,2022-11-27T23:55:15.000Z,en,4,0,6,0,everyone,Experimental climate change impacts on Baltic coastal wetland plant communitieshttps://t.co/b3uToTN1KN
1597016211270705153,581782217,1597016211270705153,2022-11-27T23:55:10.000Z,en,0,0,0,0,everyone,"The Biden People will be Stupid Enough to Blame this on ""Global Warming"" #biden #globalwarming #solar #weather https://t.co/NSMMA6oxYv"
1597016185975214080,1560788999454699520,1597016185975214080,2022-11-27T23:55:04.000Z,en,0,0,0,0,everyone,"""There's something interesting about high prices,"" says Kwasi Ampofo, the head of minerals and mining at BloombergNEF. ""It incentivizes everything.""https://t.co/2uytjqM21d"
1597016180539404289,2771309035,1597016180539404289,2022-11-27T23:55:03.000Z,en,0,0,1,0,everyone,Only two more days until Giving Tuesday! We appreciate all of your support for South Asia programming at UH Mānoa. . Our Spring Symposium on April 18-19 will address Climate Change in South Asia. Your donations will help us bring speakers of internation... https://t.co/hn12UmauB6 https://t.co/QkQglOb3L0
1597016168195235840,70617159,1597016168195235840,2022-11-27T23:55:00.000Z,en,2,1,4,0,everyone,"Rising heat in the atmosphere is increasing the volume of moisture in storm clouds and driving up the risk of intense downpours, reports @micksfoley #auspol https://t.co/M41Q2xlotZ"
1597015959138705408,597715969,1597015959138705408,2022-11-27T23:54:10.000Z,en,0,0,0,0,everyone,"Also, the winners of the ICT 4 Inclusion Challenge 2022 will be announced – presenting digital solutions to mitigate the impact of climate change on people with disabilities in India. https://t.co/wtvcSZYBEl"
1597015916667342848,520236351,1597015916667342848,2022-11-27T23:54:00.000Z,en,0,0,0,0,everyone,"""Experts"" Try to Debunk Ben on Climate Change https://t.co/7jKD6CMJTt via @YouTube https://t.co/doeTy0GP09"
1597015854197002240,1329492481248014336,1597015854197002240,2022-11-27T23:53:45.000Z,en,0,0,0,0,everyone,"Welcome fellow humans! Your number one unnatural company Target was fined $27,500 due to using generators producing TONS of air emissions🤢! Who knew that  climate change is a real thing!  Stay updated on our carbon tweets by following!"
1597015741324136448,1596117591361290240,1597015741324136448,2022-11-27T23:53:18.000Z,en,0,1,0,0,everyone,Can our current government please get some common sense and get us back to energy independence?Why do you want the American people to suffer?The Climate Change theory is nothing more than a hoax! What is your end game here?
1597015655143931904,361195202,1597015655143931904,2022-11-27T23:52:57.000Z,en,0,0,0,0,everyone,"Barclays Plc (LSE:BARC) in lights - https://t.co/8L6aJ5bkFr -   #Brent #Dax As we approach December, it's becoming clear how similar this time of year is to spring but not in a global warming sense. Instead, we start to see the first glimmers of illuminated garden ornamen... https://t.co/FeWIa81Qii"
1597015646805426176,1547763786559266816,1597015646805426176,2022-11-27T23:52:55.000Z,en,349,67,543,17,everyone,"This was Buffalo, New YorkGeez, I wish they would get the climate change under control#ClimateScam https://t.co/zb5t5hq42r"
1597015624961560576,1127143755499225088,1597015624961560576,2022-11-27T23:52:50.000Z,en,1,0,1,0,everyone,"Globally, nearly 80% of plastic waste ends up in landfills or nature &amp; less than 10% is recycled.To #BeatPlasticPollution &amp; mitigate its long-term impacts, we must reduce the production of plastic.@UNDP has more. ⬇️https://t.co/jW4GNQU9ot"
1597015511686156288,22006512,1597015511686156288,2022-11-27T23:52:23.000Z,en,0,0,0,0,everyone,Buying Manager - UtilitiesJob Advert    Are you an energy procurement specialist? Are you passionate about Climate Change? Are you looking for the opportunity to make a t... #Bradford #BradfordJobs #UKJobshttps://t.co/XrdCnniMdF
1597015429980901376,1514245448772505602,1597015429980901376,2022-11-27T23:52:04.000Z,en,0,0,0,0,everyone,we as a community should normalize blaming ramuda for our problems. ramuda....you caused climate change. how dare you.
1597015418102652928,1588335005071204352,1597015418102652928,2022-11-27T23:52:01.000Z,en,0,0,0,0,everyone,Global warming pales in comparison to the wrath of God.  It's like a whisper of a threat compared to the inevitable just judgement of our Holy God.But God withheld this apocalyptic wrath until He Himself could provide Jesus as a salvation from it.
1597015382568550400,1588218026737926147,1597015382568550400,2022-11-27T23:51:52.000Z,en,0,0,0,0,everyone,"Why ESG, Climate change from hardly literates? What is coming ?2 Peter 3:13     Neuerthelesse wee, according to his promise, looke for new heauens, and a new earth, wherein dwelleth righteousnesse. Isaiah 65:17 Revelation 21:1"
1597015368769437696,325300261,1597015368769437696,2022-11-27T23:51:49.000Z,en,3,0,6,0,everyone,"""I think we at least need to ask ourselves the question as to whether or not the maintenance levels we've got are suitable for a world where we're expecting more water, more often"" -  ARRB's pavement discipline lead Dr Michael Moffatt speaks to the ABC.https://t.co/0QrDfLxwYJ"
1597015110551490562,1207574916876210176,1597015110551490562,2022-11-27T23:50:48.000Z,en,0,1,1,0,everyone,Another DeSantis invention that does nothing except cost taxpayers money. Just like prior to Ian's aftermath DeSantis rejected a Climate Change bill that would have protected FL from natural disasters. Because DeSantis is funded by pollution energy. https://t.co/p8UtFbalZe https://t.co/2fFMVgDe94
1597014950483894272,1577840596537876481,1597014950483894272,2022-11-27T23:50:09.000Z,en,0,0,0,0,everyone,"On 2022-11-21 Department of Climate Change, Energy, the Environment and Water (FINANCIAL SERVICES BRANCH) engaged CONTACT ELECTRICAL PTY LTD via Limited tender for Fume Cupboard &amp;amp; Medical Gases (Expeditioner Training) (Education... worth $13,860 AUD ☞ https://t.co/dwflgsRaIi"
1597014936806301696,1532509842,1597014936806301696,2022-11-27T23:50:06.000Z,en,0,0,0,0,everyone,"""The move to end Climate Change is fundamentally driving a stake through the very heart of the German economy."" - Germany's Decline &amp; Fall  via @StrongEconomics  https://t.co/365ZL6xEPU"
1597014878317088769,1899894746,1597014878317088769,2022-11-27T23:49:52.000Z,en,1,0,1,0,everyone,"Potholes, warped rail lines and washed-away roads: flood-hit regions face infrastructure crisis.The affects of climate change for all to see.  The damaging floods will disrupt rural communication and commerce and damage the state and national economies.  https://t.co/EKHvjRbwRH"
1597014876903608321,983865024,1597014876903608321,2022-11-27T23:49:52.000Z,en,2,0,4,0,everyone,“Our reliance on outdated risk scenarios and models caused an underestimation of risk to some communities this yearWe’re nowhere near prepared for next climate disasters https://t.co/u1TGcQlH23
1597014873938038784,227682918,1597014873938038784,2022-11-27T23:49:51.000Z,en,5,0,3,0,everyone,"Just as improved climate modeling has sharpened our knowledge of global warming, it’s also allowed researchers to better understand the catastrophic costs of nuclear winterhttps://t.co/KtntVC6TQU"
1597014798809837568,4327208716,1597014798809837568,2022-11-27T23:49:33.000Z,en,0,0,0,0,everyone,"""Experts"" Try to Debunk Ben on Climate Change https://t.co/V8GeEpzy2r https://t.co/41X34M5vbl"
1597014746234261504,1519925807728459776,1597014746234261504,2022-11-27T23:49:21.000Z,en,0,0,1,0,everyone,"""Top five climate change lies"" 🤥@Bowenchris@ABCaustralia@rowandean@AlboMPhttps://t.co/U4JgCToncQ"
1597014676894027776,292619181,1597014676894027776,2022-11-27T23:49:04.000Z,en,0,0,0,0,everyone,Jeremy hunt.. one sandwich short of a picnic. Slanguage (The Tory legacy since 2010) https://t.co/A0Hjmzyc8e  #ToryFail #Conservative #poverty #Brexit #satire 2 #ClimateAction #ClimateChange #listening
1597014576998252544,1122095554413170688,1597014576998252544,2022-11-27T23:48:40.000Z,en,0,0,1,0,everyone,GMOs can aid our climate change adaptation efforts https://t.co/fzjL63pYp5
1597014569901236229,1117187256060530688,1597014569901236229,2022-11-27T23:48:39.000Z,en,0,0,1,0,everyone,"#RT @UN: Globally, nearly 80% of plastic waste ends up in landfills or nature &amp; less than 10% is recycled.To #BeatPlasticPollution &amp; mitigate its long-term impacts, we must reduce the production of plastic.@UNDP has more. ⬇️https://t.co/st3ojARZpe"
1597014563425521665,1048686950402670597,1597014563425521665,2022-11-27T23:48:37.000Z,en,2,8,24,0,everyone,"It’s Nov 27th, coincidentally my birthday, and it’s 9C here. In 🇨🇦. In November. Climate change is so obvious here."
1597014525043441665,1136578029923082240,1597014525043441665,2022-11-27T23:48:28.000Z,en,0,0,0,0,everyone,"Globally, nearly 80% of plastic waste ends up in landfills or nature &amp; less than 10% is recycled.To #BeatPlasticPollution &amp; mitigate its long-term impacts, we must reduce the production of plastic.@UNDP has more. ⬇️https://t.co/2klIOv6uCL"
1597014513810751488,56029738,1597014513810751488,2022-11-27T23:48:25.000Z,en,0,0,1,1,everyone,"The Spiritual Vegan“How do you spell love?"" - Piglet""You don't spell it...you feel it."" - PoohImage: Edgar's Mission Sanctuary #vegan #govegan Edgar's Mission #ALLFEMALES #Animalrights #Feminist #Feminism #Climatechange #Feminismo #metoo #animalstoo #MenToo #EndSpeciesism https://t.co/FZ7vPoa6ay"
1597014503518277633,1591436170692595712,1597014503518277633,2022-11-27T23:48:23.000Z,en,0,1,1,0,everyone,Sooo….global warming is not the number one threat to society right now? #ClimateCrisis #climatechange @TheDemocrats @JoeBiden #elonmusk #Biden #SonYejin https://t.co/P0IvaX1cjR
1597014177666719744,14662354,1597014177666719744,2022-11-27T23:47:05.000Z,en,9,1,6,2,everyone,Biden’s new climate change rules would smack government contractors with a $604 billion billhttps://t.co/MQaijnQ6b0 https://t.co/ElvlpqIFPz
1597014154686001154,15221598,1597014154686001154,2022-11-27T23:47:00.000Z,en,0,1,2,0,everyone,The Arctic lakes where #Methane makes water roar in a violent rolling boil. (Newsweek) #ClimateChange #Environment https://t.co/lEjZ4OJCwV https://t.co/lKsIMcgZrV
1597014123476242432,1592285265095262209,1597014123476242432,2022-11-27T23:46:52.000Z,en,0,1,0,0,everyone,The term climate change is simply a way for governments to regulate the private market. More regulations means more control for the government and less freedom for the individual. The climate is always changing and always will. Let the free hand move as it will! Laissez Faire!
1597014121324871683,125018220,1597014121324871683,2022-11-27T23:46:52.000Z,en,0,0,1,0,everyone,SES deputy warns SA storms and floods are climate change in action https://t.co/0BeekLZjUG via @indaily
1597014043319046144,820222284,1597014043319046144,2022-11-27T23:46:33.000Z,en,0,0,0,0,everyone,Climate change: Could centuries-old wheat help feed the planet? https://t.co/w3dFLUu8fG
1597013870270328832,42174449,1597013870270328832,2022-11-27T23:45:52.000Z,en,2,0,1,0,everyone,Unless the #LNP can at the very least pretend to agree #ClimateChange is real then successive waves of younger voters will keep them out of office.
