id,author_id,conversation_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,referenced_tweets,text
1633968048750067712,31731798,1632530288398958592,2023-03-09T23:08:35.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1633936861251923968'}]",@RandsInfoDepot @hugh_mankind I feel very sorry for you… https://t.co/tPn7PV9dYu
1633936861251923968,1595403201397886982,1632530288398958592,2023-03-09T21:04:39.000Z,qme,0,1,0,0,"[{'type': 'replied_to', 'id': '1633557141348036609'}]",@TalentlessJoe @hugh_mankind https://t.co/AYyiX1SBp3
1633873455983493127,31731798,1632530288398958592,2023-03-09T16:52:42.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1633270140392591360'}]","@GretchenlbB @LeslieCzar @hugh_mankind A clip from the totally discredited Great Global Warming Swindle, replete with faked graphs, misquoted scientists, shills for the petrochemical industry, and downright lies? Nah, I saw it when it first came out, and even though they had to correct some lies, it’s still garbage."
1633609496558809090,1955378912,1632530288398958592,2023-03-08T23:23:49.000Z,und,0,0,0,0,"[{'type': 'replied_to', 'id': '1632645909304733697'}]",@Schtang @hugh_mankind 🤡
1633557141348036609,31731798,1632530288398958592,2023-03-08T19:55:47.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1633548965634244608'}]","@RandsInfoDepot @hugh_mankind Yup. Correct, it’s laughable."
1633548965634244608,1595403201397886982,1632530288398958592,2023-03-08T19:23:17.000Z,und,0,1,0,0,"[{'type': 'replied_to', 'id': '1633546906201628679'}]",@TalentlessJoe @hugh_mankind 🤣🤣🤣
1633546906201628679,31731798,1632530288398958592,2023-03-08T19:15:06.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1633431711680720901'}]",@RandsInfoDepot @hugh_mankind Oh dear. This is crackpot nonsense. How embarrassing.
1633530924443873280,31731798,1632530288398958592,2023-03-08T18:11:36.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1633422918045638656'}]","@kevinmesserly @hugh_mankind Well, I know you’re utterly clueless about climate science and are unwilling to rectify that. Heigh ho."
1633496553720520704,1574207719376130049,1632530288398958592,2023-03-08T15:55:01.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1632530288398958592'}]","@hugh_mankind ZOES MONSTER MOVEMENT DEEPHOUSE CHILLOUT MUSIC STUNNING NATURE EARTH FRO... https://t.co/6DUalce10M via @YouTube #climatechange Time for an Uprise, A Movement @GretaThunberg #deephouse   #chilloutmusic #MUFC #ChilloutMix物語 #deephousemusic"
1633461394791370760,274522126,1632530288398958592,2023-03-08T13:35:19.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1633405543254507520'}]",@TalentlessJoe @hugh_mankind Dinosaurs  average temp was 15-20 degrees warmer than now. During julius caesar it was 1-2 degress. All the ecologist are now saying that if we go 0.5 o 1 degree warmer it will be an apocalypsis
1633431711680720901,1595403201397886982,1632530288398958592,2023-03-08T11:37:22.000Z,qme,0,1,0,0,"[{'type': 'replied_to', 'id': '1633168077188653058'}]",@TalentlessJoe @hugh_mankind https://t.co/piv53KT6Zw
1633429377873588224,1434800635438899200,1632530288398958592,2023-03-08T11:28:05.000Z,en,0,0,1,0,"[{'type': 'replied_to', 'id': '1633183047276167169'}]",@geopoliticacult @Schtang @hugh_mankind I think he got his 12th jab.
1633422918045638656,236529696,1632530288398958592,2023-03-08T11:02:25.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1633398099161882624'}]",@TalentlessJoe @hugh_mankind You really are very arrogant and dismissive. That will not end well for you. Keep talking about my intelligence because you don't know shit about me you mindless sheep.
