id,author_id,conversation_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,referenced_tweets,text,reference_tweet_id
1553651491013283840,1482898969529237505,1553651491013283840,2022-07-31T07:59:15.000Z,zh,1,0,0,0,"[{'type': 'quoted', 'id': '1553643535890612224'}]",这种说法的问题是，地球并没有变暖到气候模型多年来一直预测的程度（双关语完全是故意的）。没有灾难性的变暖，就没有灾难性的气候变化。 https://t.co/EKWri7MfnM,1553643535890612224
1554028618208116737,2660539856,1554028618208116737,2022-08-01T08:57:49.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1553647607733313536'}]","Sadenning! Unfortunately, these will become more frequent &amp; severe unless we strengthen early warning systems, &amp; pursue disaster risk reduction strategies - restoring degraded bare hills &amp; water catchment areas. All buttressed by adequate disaster preparedness &amp; Mgt financing. https://t.co/UxFInqd5cD",1553647607733313536
1553902565569335297,72392748,1553902565569335297,2022-08-01T00:36:56.000Z,en,0,0,1,0,"[{'type': 'quoted', 'id': '1553822989405376515'}]","Can land be made to absorb water better by drilling holes in it? Otherwise bigger flash floods: wildfires destroy forests and other vegetation, which in turn weakens the soil and makes it less permeable. https://t.co/iILdJsG1bI",1553822989405376515
1553862898098835457,1490411203809665027,1553862898098835457,2022-07-31T21:59:18.000Z,qam,0,0,3,0,"[{'type': 'quoted', 'id': '1553830835480043520'}]",@JamieRohu @think_or_swim @ciwf @peatyGHG @4peatssake2 @NatureNymph @whittledaway @RickyWhelan @IrishRainforest @GweebarraG @Johncarmodyirl @saoirse_mchugh @philip_ciwf  @ethicalfarmIE https://t.co/mMITc3GI1I,1553830835480043520
1553722560646365184,1432450283393720320,1553722560646365184,2022-07-31T12:41:39.000Z,art,1,1,1,0,"[{'type': 'quoted', 'id': '1553720479877419008'}]",📣📣📣📣 https://t.co/WTmgqATzMo,1553720479877419008
1554176607186669569,16301117,1554176607186669569,2022-08-01T18:45:53.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1553876912824532993'}]",Where the rubber meets the road! https://t.co/SJjVnULohI,1553876912824532993
1553711057377656833,1288216111612403717,1553711057377656833,2022-07-31T11:55:57.000Z,zxx,0,0,0,0,"[{'type': 'quoted', 'id': '1553680461720915968'}]",https://t.co/06C27IeLdC https://t.co/059yzWkEPw,1553680461720915968
1554205232355282946,3406983132,1554205232355282946,2022-08-01T20:39:37.000Z,en,1,0,6,0,"[{'type': 'quoted', 'id': '1553859701640773634'}]","If you live in Missouri's first congressional district, we recommend a vote tomorrow for @RepCori @CoriBush. Congresswoman Bush is a true environmental champion, who treats the crisis of climate change with the urgency it deserves. https://t.co/JbtpiEGKR5",1553859701640773634
1553948966663770113,16426293,1553948966663770113,2022-08-01T03:41:19.000Z,en,0,1,1,0,"[{'type': 'quoted', 'id': '1553891062988427265'}]","""Climate stress does not affect everyone equally, and those with more resources will be able to protect and sustain their way of life for much longer than other poorer, and more vulnerable populations."" https://t.co/4V9QAZ7yv2",1553891062988427265
1557261987125534722,1157210035338039297,1557261987125534722,2022-08-10T07:06:04.000Z,en,1,0,3,0,"[{'type': 'quoted', 'id': '1557062851050749952'}]","I’m biased of course, but It has to be the huge untapped potential of our infrastructure of alleyways @9ftinCommon - Common off road routes, small social spaces, surprisingly green… https://t.co/cM2CqXN7fX",1557062851050749952
