id,author_id,conversation_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,referenced_tweets,text,reference_tweet_id
1553814345628684288,1499784373071409153,1553688471910244352,2022-07-31T18:46:23.000Z,en,0,1,1,0,"[{'type': 'replied_to', 'id': '1553688471910244352'}]",@Padadoz Are you ok,1553688471910244352
1553704813157699584,917972800308154369,1553688471910244352,2022-07-31T11:31:08.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553688471910244352'}]",@Padadoz What a muppet he is,1553688471910244352
1553865494301577216,386214689,1553864766422147074,2022-07-31T22:09:37.000Z,en,0,0,1,0,"[{'type': 'replied_to', 'id': '1553864766422147074'}]",@realjdowner This tweet was like an intimate peak into your little corner of the internet.,1553864766422147074
1553753567416270848,1231200990042390528,1553753564505378821,2022-07-31T14:44:52.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1553753564505378821'}]","(2/3) (followed by Bangladesh at 177 and India at 180, the very bottom). Lahore, here in Pakistan, and India’s Delhi are among the most polluted cities in the world. A United Nations report estimates Pakistan’s annual economic loss to climate change at $26 billion under the...",1553753564505378821
1553663787315744768,1389637853009809408,1553541916708438016,2022-07-31T08:48:07.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553541916708438016'}]",@alpha_check ‘Flowing,1553541916708438016
1553663727181987840,1389637853009809408,1553541916708438016,2022-07-31T08:47:52.000Z,en,0,1,1,0,"[{'type': 'replied_to', 'id': '1553541916708438016'}]",@alpha_check Either there’s a word missing .. or the beers were glowing last night?Maybe I missed the point altogether 🤔,1553541916708438016
1553627307838910465,252681366,1553531637899489280,2022-07-31T06:23:09.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553531637899489280'}]",@komonews 'California from the San Diego border to its Oregon border is now fire prone annually &amp; beyond often several Xs a year,1553531637899489280
1553532518992732160,92653531,1553531637899489280,2022-07-31T00:06:30.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1553531637899489280'}]","@komonews In the winter when it’s cold you have all the folks saying, “if there’s climate change, why’s it snowing right now?” Today we’re baking with record setting consecutive days above 90. This is becoming the new norm and it sucks.",1553531637899489280
1553897220646309892,804677258120220672,1553863839216816129,2022-08-01T00:15:42.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553863839216816129'}]","@NRO I never believe in making money online before but since I started seeing different people testifying about @GregoryLillian5,i was so interested in investing with her because all friends who Invested have all received their profits successfully and so do I👇👇 @GregoryLillian5",1553863839216816129
1553868479735861248,1519824074528096256,1553863839216816129,2022-07-31T22:21:29.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553863839216816129'}]",@NRO What's worse is they won't even make a dent in controlling climate.,1553863839216816129
1553864168582815745,1526291978601775104,1553863839216816129,2022-07-31T22:04:21.000Z,sv,0,0,0,0,"[{'type': 'replied_to', 'id': '1553863839216816129'}]",@NRO Fascism,1553863839216816129
1553869423714324480,1492766632833212416,1553852049124728833,2022-07-31T22:25:14.000Z,qme,0,0,1,0,"[{'type': 'replied_to', 'id': '1553852049124728833'}]",@indypremium https://t.co/SXVRKhYiYX,1553852049124728833
1553866746716635144,1435578416988839936,1553852049124728833,2022-07-31T22:14:36.000Z,tl,0,0,0,0,"[{'type': 'replied_to', 'id': '1553852049124728833'}]","@indypremium Bahahaha, classic 🤣",1553852049124728833
1553856947526549506,53151746,1553852049124728833,2022-07-31T21:35:40.000Z,en,0,0,2,0,"[{'type': 'replied_to', 'id': '1553852049124728833'}]",@indypremium Utter bollocks on geological timeframes.,1553852049124728833
1553856393811222534,1543353174463062018,1553852049124728833,2022-07-31T21:33:28.000Z,en,0,0,1,0,"[{'type': 'replied_to', 'id': '1553852049124728833'}]",@indypremium Absolute fiction. Mythology. Far left wing loons literally make this stuff up a tweet it.,1553852049124728833
1553976278348431360,1502600037028798466,1553619430286016512,2022-08-01T05:29:50.000Z,en,0,1,2,0,"[{'type': 'replied_to', 'id': '1553619430286016512'}]",@Ash_with_earth @Vegan_Tubers i think non vegans are comfortable with death though,1553619430286016512
1553620998326550528,1394114815510163459,1553619430286016512,2022-07-31T05:58:05.000Z,en,4,1,18,0,"[{'type': 'replied_to', 'id': '1553619430286016512'}]","*Deforestation, especially in the Amazon rainforest. *Land depletion*pesticide exposure from animal feed crops",1553619430286016512
1553721202534916097,1248925766294929411,1553632958694600704,2022-07-31T12:36:16.000Z,en,0,0,2,0,"[{'type': 'replied_to', 'id': '1553632958694600704'}]",@N8isback The Olmec statue theory was debunked almost as long ago as the Olmecs themselves. The moors didn’t colonise Europe. They colonised about 5% of Europe.,1553632958694600704
1554537132903079936,1492149857414434818,1553551299634860033,2022-08-02T18:38:29.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1553551299634860033'}]",@echo_chamberz @threadreaderapp unroll,1553551299634860033
1553552208087621633,1533929248343224320,1553551299634860033,2022-07-31T01:24:44.000Z,en,0,0,1,0,"[{'type': 'replied_to', 'id': '1553551299634860033'}]","@echo_chamberz Agreed. And climate change is arguably worse than BLM; it's not just a waste of money, but if taken too seriously threatens our whole energy infrastructure, and general prosperity by extension.",1553551299634860033
1553604241335484417,200637616,1553543558543691776,2022-07-31T04:51:30.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1553543558543691776'}]",@AymanMSNBC @economicsNZ @StephanieKelton @AymanM Hmmm ... a bailout is not a bailout.Brilliant alright.,1553543558543691776
1553555758389796866,1166889294801395718,1553543558543691776,2022-07-31T01:38:51.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553543558543691776'}]",@AymanMSNBC @StephanieKelton @AymanM I think Manchin has shocked everyone by this. Hope it comes to fruition!,1553543558543691776
1553546079437819907,3355982313,1553543558543691776,2022-07-31T01:00:23.000Z,en,0,0,1,0,"[{'type': 'replied_to', 'id': '1553543558543691776'}]",@AymanMSNBC @StephanieKelton @AymanM it’s a gift to fossil fuel industry. this isn’t a climate change bill,1553543558543691776
1553544128486678529,334217161,1553543558543691776,2022-07-31T00:52:38.000Z,en,3,2,19,0,"[{'type': 'replied_to', 'id': '1553543558543691776'}]",@AymanMSNBC @AymanM Thank you for having me.,1553543558543691776
1557131885532291073,1467260068282486784,1557100299596218371,2022-08-09T22:29:06.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1557100299596218371'}]",@metjeffuk IM NOT SO SURE ESPECIALLY SOUTHEASTERN AREAS LITTLE RAIN NEXT WEEK UNFORTUNATELY AND RISK OF GRASS FIRES 🔥 STILL,1557100299596218371
1557105396883546113,1041261170957541377,1557100299596218371,2022-08-09T20:43:50.000Z,fr,0,0,0,0,"[{'type': 'replied_to', 'id': '1557100299596218371'}]",@metjeffuk Pluie abondante dans le centre si on 10a 20mm ca sera un miracle j'attends de voir ca,1557100299596218371
1557102420571848706,947550600446783488,1557100299596218371,2022-08-09T20:32:01.000Z,qme,0,0,0,0,"[{'type': 'replied_to', 'id': '1557100299596218371'}]",@metjeffuk https://t.co/Izdz7jhQsu,1557100299596218371
1557101647565922304,1267837922,1557100299596218371,2022-08-09T20:28:56.000Z,en,0,0,1,0,"[{'type': 'replied_to', 'id': '1557100299596218371'}]",@metjeffuk Not to mention the thousands of deaths to due to cold weather this winter 🥶 &amp; rising energy bills.  Cold weather deaths far out way Warm summer deaths .,1557100299596218371
1556796148392022017,142878998,1556796052317286400,2022-08-09T00:15:00.000Z,en,0,0,1,0,"[{'type': 'replied_to', 'id': '1556796052317286400'}]","And the latest @Coastcare_Vic Community Grants have awarded! More than $230,000 is going to 27 community-led projects that care for coastal and marine environments.",1556796052317286400
1557443459207770112,1540479486344368128,1556897831054901248,2022-08-10T19:07:11.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1556897831054901248'}]",@NotJason666 When does it become toxic though?? Doesn't matter if atmopshere is 0.000001% if it is fatal at 0.00001%,1556897831054901248
1556897964790059008,1534226184548106241,1556897831054901248,2022-08-09T06:59:35.000Z,en,0,1,2,0,"[{'type': 'replied_to', 'id': '1556897831054901248'}]","So if we ALL gave up our cars, industry, heating ,energy and food and basically wiped ourselves and our offspring of the planet, we would save 0.00114% of Co2 spewing catastrophically into the atmosphere!Wow. 😳 . That 0.00114 % is sure to make a measurable difference.🤨3/👇",1556897831054901248
1557099680655462400,16854832,1557097029955997696,2022-08-09T20:21:08.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1557097029955997696'}]",We apologize for the double postings.  This is a short-term temporary measure as we slowly  transition to our new and faster https://t.co/vo1Sm8lbYP site.  We appreciate your patience.,1557097029955997696
1556849751013851137,3161598046,1556849589663178753,2022-08-09T03:48:00.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1556849589663178753'}]",#RedPillBill 👉🐿️⛰️❤️ #ThePsychicTicker #CriswellNews @RealJamesWoods @SenSchumer @AOC @SpeakerPelosi @BarackObama @HillaryClinton @BillClinton @boderek @JoeBiden @KamalaHarris @MeetThePress  doesn't hurt my hamster.  Thank you.  Alex.  Age 5.  #Da,1556849589663178753
1557037321383546881,1366795679880904717,1557025612761645057,2022-08-09T16:13:20.000Z,en,0,0,1,0,"[{'type': 'replied_to', 'id': '1557025612761645057'}]",@tj1969t @MailOnline Ah yes the genius that is Lord Frost.,1557025612761645057
1557029403992932355,1060895899,1557025612761645057,2022-08-09T15:41:52.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1557025612761645057'}]","@tj1969t @MailOnline OK bot, whatever.",1557025612761645057
1556898024420671488,1048764180528918528,1556887168131293184,2022-08-09T06:59:49.000Z,qme,0,0,1,0,"[{'type': 'replied_to', 'id': '1556887168131293184'}]",@Goldrushcomic https://t.co/5luMNwFny8,1556887168131293184
1557048298405597185,17115537,1557005801897791494,2022-08-09T16:56:57.000Z,und,0,0,0,0,"[{'type': 'replied_to', 'id': '1557005801897791494'}]",@feurekaw +1,1557005801897791494
1557099977712754690,1445137504521310209,1557097639266684931,2022-08-09T20:22:18.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1557097639266684931'}]",@EnvDefenseFund So even after Bill Gates and Harvard University announced they were going to spray particles into the air to stop global warming... This?!  By their calculations shouldn't they push us into another ice age?  Stop messing with Nature!!  No more #bioweaponry.,1557097639266684931
